feature,importance
sentence_position_ratio,0.15277777777777773
rst_tree_depth,0.0
pos_ratio_VBD,0.0
rst_nuclearity,0.0
rst_relation,0.0
causal_marker_ratio,0.0
contrast_marker_ratio,0.0
surprisal_word_max,0.0
surprisal_word_std,0.0
pos_ratio_VBZ,0.0
span_importance_score,0.0
pos_ratio_VBG,0.0
pos_ratio_VBP,0.0
pos_ratio_NNS,0.0
pos_ratio_NNP,0.0
readability_score,0.0
syntactic_complexity_score,0.0
paragraph_discourse_continuity_score,0.0
prev_next_cohesion_score,0.0
GLOBAL_RST_GATE,0.0
pos_ratio_VB,-0.07009803921568636
pos_ratio_JJ,-0.07009803921568636
pos_ratio_RB,-0.07009803921568636
pos_ratio_NN,-0.07009803921568636
sentence_length_tokens,-0.07009803921568636
named_entity_count,-0.07009803921568636
cue_word_flags,-0.07009803921568636
prev_sent_label,-0.07009803921568636
concreteness_ratio,-0.26535087719298245
